title,heading,content,tokens
Medical cannabis,Brand names,"In the US, the FDA has approved two oral cannabinoids for use as medicine: dronabinol and nabilone. Dronabinol, synthetic THC, is listed as Schedule II. Nabilone, a synthetic cannabinoid, is also Schedule II, indicating high potential for side effects and addiction. Both received approval for sale in the US in 1985, under the brand names Marinol and Cesamet. Nabiximols, an oromucosal spray derived from two strains of Cannabis sativa and containing THC and CBD, is not approved in the United States, but is approved in several European countries, Canada, and New Zealand as of 2013. As of 2018, medical marijuana in Canada is being legally distributed to registered patients in bud, drops and capsule forms by such companies as Canopy Growth Corp. and Aurora Cannabis.

As an antiemetic, these medications are usually used when conventional treatment for nausea and vomiting associated with cancer chemotherapy fail to work.Nabiximols is used for treatment of spasticity associated with MS when other therapies have not worked, and when an initial trial demonstrates ""meaningful improvement"". Trials for FDA approval in the US are underway. It is also approved in several European countries for overactive bladder and vomiting. When sold under the trade name Sativex as a mouth spray, the prescribed daily dose in Sweden delivers a maximum of 32.4 mg of THC and 30 mg of CBD; mild to moderate dizziness is common during the first few weeks.Relative to inhaled consumption, peak concentration of oral THC is delayed, and it may be difficult to determine optimal dosage because of variability in patient absorption.In 1964, Albert Lockhart and Manley West began studying the health effects of traditional cannabis use in Jamaican communities. They developed, and in 1987 gained permission to market, the pharmaceutical ""Canasol"", one of the first cannabis extracts.",387
Medical cannabis,Research,"Medical cannabis research includes any medical research on using cannabis as a treatment for any medical condition. For reasons including increased popular support of cannabis use, a trend of cannabis legalization, and the perception of medical usefulness, more scientists are doing medical cannabis research. Medical cannabis is broad for many conditions, each of which has its own state of research.
A 2022 review concluded that ""oral, synthetic cannabis products with high THC-to-CBD ratios and sublingual, extracted cannabis products with comparable THC-to-CBD ratios may be associated with short-term improvements in chronic pain and increased risk for dizziness and sedation.""",129
Aurora Cannabis,Summary,"Aurora Cannabis Inc. is a Canadian licensed cannabis producer, headquartered in Edmonton. It trades on the Toronto Stock Exchange and Nasdaq as ACB. As of late September 2018, Aurora Cannabis had eight licensed production facilities, five sales licences, and operations in 25 countries. It had a funded capacity of over 625,000 kilograms of cannabis production per annum with the bulk of capacity based in Canada and a growing presence in international markets, particularly Denmark and Latin America. Aurora is the second largest cannabis company in the world by market capitalization, after Canopy Growth Corporation. The company began trading on the NYSE on October 23, 2018 using the ticker ACB.After significant expansion in 2018, the company reduced expenses in the second half of 2019 when the Canadian recreational cannabis market had low sales due to excessive inventory and uncompetitive pricing with the black market. In February 2020, cofounder and chief executive, Terry Booth, resigned, being replaced by Executive Chairman Michael Singer as interim CEO.",203
Aurora Cannabis,History,"Aurora was founded in 2006 by Terry Booth, Steve Dobler, Dale Lesack and Chris Mayerson. Booth and Dobler collectively invested over $5 million of their own capital. The founding group secured a 160+ acre parcel of land in Mountain View County, Alberta, where they established Aurora's first facility. The company received its license to grow cannabis in 2014, making it the first cannabis producer to obtain a federal license in that province. They decided to establish the company in Alberta due to comparatively low corporate tax rates and an ideal farm credit program. On November 27, 2014, Health Canada issued Aurora's first license to sell medical cannabis. Since then they have built, and are operating, numerous growing facilities throughout Canada, Europe, Asia, Latin America and Oceania. On January 10, 2017, Aurora received a license from Health Canada to sell cannabis oils, having been granted a license to produce the oils in February 2016. Sales of four product lines of cannabis oils commenced in April, 2017.",205
Aurora Cannabis,After legalization in Canada - October 2018,"Canada legalized the retail sale of cannabis nationally on October 17, 2018. Due to its significant capital investments, particularly in large growing facilities, Aurora had about 20% of the Canadian retail market for cannabis during early 2019.At its year-end in June 2019, Aurora had a market capitalization of US$4.8 billion. An October 2019 report stated that cannabis stocks had ""crumbled to their lowest level since 2017""; Aurora shares were also at a two year low. The fall in stock price for Aurora and other Canadian cannabis stocks in late 2019 was attributed to the missed benchmark revenues, general lack of profitability in the industry, slow rollout of retail stores in Canada, rise in vaping-related illnesses, non-competitiveness of pricing with black market cannabis, oversupply of commercial cannabis, termination of capital expenditures, and an FDA warning that cannabidiol may cause liver injury, among others.",191
Aurora Cannabis,Public trading and acquisitions,"Aurora became a publicly traded company on the Toronto Stock Exchange on July 24, 2017, and on the New York Stock Exchange on October 23, 2018.Aurora grew through several acquisitions. By 2018, Aurora's subsidiaries included Pedanios GmbH (Germany's largest distributor of cannabis to pharmacies), CanvasRx (the largest medical cannabis patient outreach service in Canada), BC Northern Lights (an indoor growing supplies manufacturer), Aurora-Larssen Projects (a globally leading greenhouse engineering and design consultancy), and H2 Biopharma (a late-stage ACMPR applicant in Quebec)By April 2018, the company had a market value of Can$4.5 billion; revenue in 2017 totaled Can$31.1 million. At the time, the company was concluding its takeover merger of previous competitor CanniMed Therapeutics. The takeover was finalized in January 2018, based on a Can$1.1 billion deal. The subsequent plan to purchase MedReleaf was expected to make the company the largest in Canada with a market capitalization of approximately $7 billion. Competitor Canopy Growth Corporation's market value exceeded that amount by $3.7 billion, however after a partial takeover by Constellation Brands was announced in late August 2018.  By 24 September 2018, however, Tilray Inc., a portfolio company of Seattle-based Privateer Holdings, with growing facilities in Nanaimo, BC, had become the world's second most valuable cannabis company with a market capitalization of about US$10 billion.
A report in mid-September 2018 by BNN Bloomberg, stated that Coca-Cola was considering the development of cannabis-infused beverages for medical purposes (with a non-psychoactive ingredient, CBD) and was in preliminary discussion with Aurora. Although Coke and Aurora then announced that they were merely studying the market, and had no plan to announce regarding the distribution of such products. Aurora's shares increased and its market cap reached US$10.71 billion on September 18, 2018. On 20 September 2018, Tilray had become the world's most valuable cannabis company, but a major drop in share price (and a subsequent market capitalization of about US$10 billion) made it only the third largest, after Canopy Growth and Aurora.In September 2020, Aurora Cannabis reportedly lost more than Can$3.3 billion in its recently concluded fiscal year which caused shares to drop roughly 10% in after-hours trading. A major issue has been Aurora's focus on premium cannabis as it is more expensive for consumers.In May 2021, Aurora moved its U.S. listing from the NYSE to the Nasdaq.",544
Aurora Cannabis,Class action lawsuits in the United States,"During the fourth quarter of 2019, several law firms in the United States announced class action lawsuits against Aurora, citing the abrupt decline in stock price, failure to complete planned capital investments, and missed revenue and profit forecasts by the company as misleading to public investors.",59
Aurora Cannabis,Status at end of 2019,"During an interview in November 2019, CEO Terry Booth discussed the poor retail performance of the Canadian cannabis industry, saying that ""carnage"" was possible unless certain producers were able to reduce the cost of operations when oversupply existed. In December, two of Aurora's senior executives departed the company: Chief Global Business Development Officer, Neil Belot, and Chief Corporate Officer, Cam Battley, when the price of the company's stock had dropped 61% over 2019. During the fourth quarter of 2019, the company had suspended cannabis production in Denmark and at its greenhouses in Medicine Hat, Alberta. The company's 15,000-square-foot (1,400 m2), non-operational, greenhouse in Exeter, Ontario was also listed for sale. This was part of the goal to ""reduce its expenses and boost its cash balance after a series of weak quarters,"" according to a news report. The company's second quarter report (for the period ending 31 December 2019) indicated a loss of US $981 million.Aurora claimed it had reduced the cost of producing cannabis to $0.85 per gram, when the national retail price of cannabis in Canada was $7.37 per gram. In December, Aurora announced its release of products for ""Cannabis 2.0"" – the retail market for edible cannabis products – to include gummies, chocolates, baked goods, and mints.",295
Aurora Cannabis,Acquisitions and growth,"Aurora owns Pedanios GmbH, a wholesale importer, exporter, and distributor of medical cannabis in the European Union, based in Berlin, Germany. Pedanios is the EU's largest distributor of cannabis by volume of product sold. As of March 2018, it is one of three distributors to offer cannabis flowers sourced from both Canada and the Netherlands.In January, 2018, Aurora became the first private company to be granted a supply agreement to the Italian market through its German subsidiary Pedanios. Aurora announced on January 23, 2018 that the first tender would consist of three lots of different cannabinoid profiles totalling 100 kg.A statement from the company in early October 2019 reported a funding capacity for over 625,000 kg of cannabis per year, with sales and operations in 25 countries. Weeks later however, the company was reported to be having cash flow problems and the value of its stock had dropped significantly.",189
Aurora Cannabis,CanniMed takeover,"On November 13, 2017, Aurora Cannabis delivered an all-stock takeover bid to CanniMed Therapeutics's board of directors, which became public on November 14. It claimed that it had the support of 38% of shareholders. CanniMed management responded by rejecting the offer, and proposed an alternative merger with Newstrike Resources, a recreational cannabis firm, instead.  CanniMed also enacted a ""poison pill"" to fend off the acquisition by enacting a rights plan that would allow CanniMed shareholders to vote on the Newstrike deal.  On November 20, Aurora launched a hostile takeover bid for CanniMed, conditional on shareholders rejecting the Newstrike deal.
The Ontario Securities Commission intervened in this, the first major hostile takeover bid in Canada's cannabis industry, ordering Aurora Cannabis Inc. to provide more disclosure regarding any ties to individuals ""in a special relationship"" with target CanniMed Therapeutics Inc. and blocking CanniMed from adopting the so-called ""poison pill"" defence.  The ties were deemed unfounded by the Securities Commission.  On January 17, 2018, Newstrike shareholders approved the proposed merger.  On January 18, CanniMed postponed its shareholder vote on the Newstrike deal, submitting that it will hold talks with suitor Aurora Cannabis. On January 24, it was announced that Aurora Cannabis finally hammered out a deal to acquire CanniMed Therapeutics Inc. for $1.1 billion, and CanniMed dropped its plans to acquire Newstrike.In March 2018, Aurora completed their acquisition of Cannimed, with both parties agreeing to the transaction on friendly terms. This agreement brought Aurora's total patient count to 42,000 registered cannabis patients in Canada.",351
Aurora Cannabis,MedReleaf merger,"In mid-May 2018, the company announced a merger with MedReleaf in a $3.2 billion stock deal already approved by the directors of both companies. The transaction closed in July, with MedReleaf shareholders receiving 3.575 Aurora shares for each MedReleaf share they owned. After the merger closed, the combined company's production capacity stood at 570,000 kilograms of cannabis at its nine grow operations in Canada and two in Denmark, if it uses all of the available capacity. The value of the new company could be as high as $7 billion, made it larger than Canopy Growth Corporation with its market cap of $6.45 billion in 2018. It would have distribution agreements in a number of countries, including Germany, Italy, Brazil and Australia.MedReleaf's German partner filed damage claims against Aurora and MedReleaf in October 2018 for breaching an exclusive supply  agreement. Cannamedical had sponsored MedReleaf's Markham EU-GMP certification and played a decisive role in the successful completion.In 2020, Aurora sold the former MedReleaf facility located in Exeter, Ontario.",228
Aurora Cannabis,Growing facilities,"Aurora Mountain was Aurora's first facility, completed in 2015. It is a 55,200-square-foot (5,130 m2) production facility in Mountain View County.Aurora Vie is a 40,000-square-foot (3,700 m2), fully licensed, indoor production facility in Pointe-Claire, Quebec. It was the second licensed producer in Quebec, and was acquired in 2017 for $7 million when it was about 80% complete.In 2017, Aurora Cannabis began construction of Aurora Sky, an automated 800,000-square-foot (74,000 m2) plant in Alberta that it said would be capable of producing 100,000 kilograms of cannabis annually. The land is part of the acreage owned by the Edmonton International Airport.
Construction on the Nordic 2 project in Denmark was stopped in November 2019 when the company's stock dropped to a two year low. The Aurora Sun project in Alberta was put on a temporary hold. These decisions would lead to a savings of $190 million.In 2021, Aurora shuttered its Aurora Polaris facility in Edmonton; it was sold in 2023.  Aurora Sky was sold to Bevo Agtech in 2022, following a transaction in which Aurora took a 50.1 per cent stake in that company.",265
Aurora Cannabis,Testing,"All products are tested by a third-party laboratory and the results are displayed on the company's website and mobile app. In March 2017, Aurora's online store and mobile app began providing public access to a simplified version of every Certificate of Analysis (CoA) for every cannabis product available. The system was developed in partnership with Anandia Labs Inc., a Canadian cannabis genetics and testing laboratory.",82
Aurora Cannabis,Retail,"As of April 2019, Aurora had about 17 retail outlets in western Canada through its strategic partnership with Choom Holdings Inc. and acquisition of Clarity Cannabis Retail Stores, with 52 more store locations in development. In November 2019, Aurora opened an 11,000 square foot (1,022 square meters) flagship retail store in West Edmonton Mall, making the store the largest cannabis retail space in Canada.  Aurora acquired a stake in Alcanna Inc. (parent company of Nova Cannabis retail stores) in 2018, at one point owning 25% of the company.  These shares were completely divested in June 2020.",125
List of cannabis rights leaders,Canada,"Riley Cote
Jodie Emery
Marc Emery
Grant Krieger
Dana Larsen
Blair Longley
Ron Mann
Marc-Boris St-Maurice
Hugô St-Onge
Brian Taylor
John Turmel
Val Venis",63
List of cannabis rights leaders,United Kingdom,"Stephen Abrams
Richard Branson
Paul Flynn
The Beatles
Clare Hodges
Norman Lamb
Howard Marks
Don Barry Mason
Dean ""Black the Ripper"" West
Kevin Williamson",43
List of cannabis rights leaders,California,"Tom Ammiano
Nicole Aniston
Paul Armentano
Ngaio Bealum
Doug Benson
Eddie Bravo
Calvin ""Snoop Dogg"" Broadus Jr.
Jay Cavanaugh
Tommy Chong
Chris Conrad
Valerie Corral
Steve DeAngelo
Nate Diaz
Nick Diaz
Lowell Eggemeier
Scott Feil
Louis ""B-Real"" Freese
Fred Gardner
James Gray
Al Harrington
Jack Herer
Jay Evan ""Laganja Estranja"" Jackson
George Clayton Johnson
Paul Kantner
Paul Krassner
Michael Krawitz
Steve Kubby
Kyle Kushman
Barbara Lee
Richard Lee
Lucky Lehrer
Charles C. Lynch
Seth MacFarlane
Allison Margolin
Terence McKenna
Jim McMahon
Peter McWilliams
Steve McWilliams
Christine ""Sister Kate"" Meeusen
Tod Mikuriya
Mikki Norris
Dennis Peron
Michelle Phillips
Mary Jane ""Brownie Mary"" Rathbun
Rudy Reyes
Seth Rogen
Henry Rollins
Ed Rosenthal
Jerry Rubin
Frank Shamrock
Cheryl Shuman
John Sperling
Kyle Turley
Marc Wasserman
George Zimmer",273
List of cannabis rights leaders,Colorado,"William ""Wayward Bill"" Chengelis
Krystal Gabel
Rachel K. Gillette
Ken Gorman
Steven Hager
Christian Hageseth
Nate Jackson
Wanda James
Laura Kriho
Sal Pace
Jessica Peck
Jared Polis
Mason Tvert
Brian Vicente
Marvin Washington
Jane West",77
List of cannabis rights leaders,New York,"Dana Beal
Kristin M. Davis
Jacqueline ""Coca Crystal"" Diamond
Ann Druyan
Abby Epstein
Allen Ginsberg
Gary ""Tom Forçade"" Goodson
Abbie Hoffman
Thomas K. Leighton
Bill Maher
Ethan Nadelmann
Anthony Papa
David Peel
Carl Sagan
Ed Sanders
Larry Sharpe",80
List of cannabis rights leaders,Oregon,"Earl Blumenauer
Madeline Martinez
Elvy Musikka
Clifford Robinson
Malcom Gregory Scott
Allen St. Pierre
Paul Stanford
George ""Jorge Cervantes"" Van Patten",49
List of cannabis rights leaders,Texas,"Barry Cooper
Brian Cuban
Joe Gaddy
Larry Hagman
Ann Lee
Willie Nelson
Joe Ptak
Brett Stahl
Jeffrey ""Zeal"" Stefanoff
Mark Stepnoski",47
Global Marijuana March,Summary,"The Global Marijuana March (GMM), also referred to as the Million Marijuana March (MMM), is an annual rally held at different locations around the world on the first Saturday in May. A notable event in cannabis culture, it is associated with cannabis-themed events, which may include marches, meetings, rallies, raves, concerts, festivals, and attempts at educational outreach.
The first Global Marijuana March was held in 1999. Since then, hundreds of thousands of people have participated in over 1034 different cities in 85 nations and subnational areas. Locally, the Global Marijuana March is associated with names including Global Cannabis March, World Cannabis Day, Cannabis Liberation Day, Global Space Odyssey, Ganja Day, J Day, and Million Blunts March.",156
Global Marijuana March,Brazil,"On June 15, 2011, the eight ministers of Brazil's Supreme Court (STF) that participated in the trial were unanimous in free demonstrations for the legalization of drugs, such as the Marcha da Maconha (Portuguese pronunciation: [ˈmaʁʃɐ da mɐˈkõȷ̃ɐ], Marijuana Walk) in Brazil, in which they decided that the demonstrations are an exercise of freedom of expression and not incitement to crime, as argued judges who have banned the march in the past. The discussion of the Marcha da Maconha reached the Supreme Court in June 2009 when the Deputy Attorney General of the Republic Deborah Duprat filed the claim of breach of fundamental precept, ADPF 187. In the lawsuit, the attorney states that the legal prohibition of the demonstrations in favor of marijuana and other narcotics have been based on misinterpretation of the Criminal Code. She said that it is ""wrong"" to say that the realization of these events are an ""apology to crime"".Marijuana was brought to Brazil by its African slaves, and with the eugenic positivist intellectual and political status quo of the Western civilization in the early 20th century, its use was deemed as a signal of decadence by its stigmatized use as a recreational drug of the poor, the rural people and the Afro-Brazilian. Its association with the counterculture and left-wing youths during the highly anti-Communist military dictatorship, initially a strong ally of the United States' government, fortified its negative perceptions both by the authorities and the masses. Nevertheless, since the neoliberal centre-right government of Fernando Henrique Cardoso (1994–2002), position strengthened in the so-called Era Lula (2003–2010), individual marijuana use by adults started to have no major importance to police and government instances – though not (since the country has major crime problems with drug dealers) its domestic cultivation for own consumption. One can see and smell people smoking the so-called maconha openly in Brazil's Centre-Southern half as well as in the Northeastern states, and recreational use of cannabis in private became more accepted among large sectors of the middle classes since the early 1990s. The academic milieu is no exception and, today, a sizeable minority of Brazilian University lecturers, students and researchers smoke marijuana.",478
Global Marijuana March,"Toronto, Ontario","The rally at Queen's Park in Toronto, Ontario, Canada has been held since 1999. 20,000 people participated in 2007, and 15,000 in 2008. For the May 2, 2009 event the Toronto Star reported: ""Police estimate roughly 12,000 people filled the north lawns of Queen's Park yesterday afternoon, with about 5,000 participating in a 2 p.m. march to decriminalize marijuana.""  In 2011 the Toronto Star reported 25,000 at Queen's Park, and 20,000 on the march through downtown. CTV News reported ""Tens of thousands march"".",123
Global Marijuana March,"Regina, Saskatchewan","Held in Regina on the first Saturday of May since 1999, originally at the Saskatchewan Legislature. Starting in 2001, it was held in Victoria Park, in the center of Regina's downtown, until 2008 when changes to the city's permit policy forced organizers to change the location to Central Park.
The event features live music mixed with speakers on various topics, sometimes with only an incidental connection to marijuana.",83
Global Marijuana March,"Vancouver, British Columbia","Held in Vancouver, British Columbia, on the first Saturday of May. People gather at the fountain at the Vancouver Art Gallery at or before 2:00 pm for a marijuana legalization parade through the streets of downtown Vancouver. The parade route is different every year.",56
Global Marijuana March,France,"In France the so-called Marche Mondiale pour le Cannabis is celebrated in Paris, Lyon, Toulouse, Marseille, Rennes, Lille, Saint-Denis-de-la-Réunion, Cognac, and some other minor cities in the country.",62
Global Marijuana March,Dunedin,"J-Day in Dunedin, is celebrated in the city's centre of town, The Octagon, on the first Saturday of May from 'High Noon' until 4:20 pm.
Dunedin is arguably chronologically the first city in the world to host any GMM event. Named '4:20 Extreme', local participants climb the famous Baldwin Street to meet at the top by 4:20 am. Locally J-Day coincides with The University of Otago Capping Parade, in which a multitude of ceremony-attending graduates parade down the main street on their way to the Town Hall ceremony, and also the University Hall Parade, in which University of Otago dormitory-student decorated themed floats parade down the main street, stopping in the Octagon typically armed with many water balloons, and collectively shouting chants of dormitory-specific pride.
Dunedin became famous for its JDay festivities in 2003 when around 50 activists marched to the Central Dunedin Police Station, where they planted cannabis plants and smoked cannabis in the main foyer as acts of protest.  The event was given considerable national and international media attention as no arrests were made.  The Central Dunedin Police Station was hot-boxed again on JDay in 2004 by over 100 activists, again with no arrests.  This second incident was also covered by the media, resulting in the Dunedin Area Police Commander, Dave Campbell, justifying the fact that no arrests were made with the quote, ""We had more important things to do"" in the Otago Daily Times.
The 2007 International J-Day in Dunedin featured political speakers and music provided by local DJs and counted 170 people at mid-day. In the lead up to J-Day 2008, NORML NZ's Maryjane the Cannabus toured 42 towns between Auckland and Dunedin in 42 days for daily law reform rallies.  The Cannabus arrived in Dunedin, New Zealand's most cannabis friendly city, on April 25 for a week-long 'Cannabis Awareness Week' which was planned by Otago NORML and featured public workshops, informational lectures at Otago University, and a round-table discussion featuring university academics, MPs, and policy researchers. Cannabis Awareness Week culminated with J-Day on May 3, 2008.The 2008 J-Day in Dunedin was well attended despite sleet and hail early in the day.  Over 500 supporters participated in the event, enjoying games, prizes, political speeches and music from Bushmaster and Ashes of Eden.",508
Global Marijuana March,Denmark,"Copenhagen
In Copenhagen the Marijuana march has been an annual tradition for more than 15 years. The march takes places on the first Saturday of may and departs from The Freetown Christiania, walks through central Copenhagen and ends at the city hall square. Klaus Trier Tuxen from Danish the Hampepartiet has had a prominent role in organizing the event in recent years.
Cannabis smoking is illegal in Denmark, but during the march the police does not enforce this regulation and smoking is de facto allowed during the demonstration.",114
Global Marijuana March,Los Angeles Million Marijuana March 2011,"As of 2011, the Moorish Science Temple of America has been doing the Los Angeles Million Marijuana March for 13 years at Leimert park in Los Angeles, California. The 2-day 2011 celebration marks the first time bands have filled the 2 days. Leimert Park is a famed free speech arena, which has also held Black Panther rallies and more since its inception. Acclaimed rap artist Ditch headlined both days, and was in charge of band booking and advertising. The event went off well with over 2,000 people attending over the 2 days. Ditch was honored for being able to bring unity to that area among so many different races and types of people. Ditch also honored jailed freedom fighter Eddy Lepp at the event. Eddy then called in live to the audience from Federal prison in which he is serving 10 years for cultivation of marijuana. Eddy's wife Linda Lepp was on hand to receive the award. This marks the third time so far that Eddy Lepp has spoken to a live concert audience from prison. Rapper RBX also performed at the Los Angeles march marking the first time in years he has performed in South Central Los Angeles.",246
Global Marijuana March,New York City,"In 1999, during the first worldwide Million Marijuana March New York City held another of its annual marijuana marches. The Village Voice reported on the police and organizer estimates of the crowd size: ""the police claim it was 4,000 people while organizers say 20,000"".In 2009, the event organizer, Dana Beal, along with Chris Ryan, and Jay Stetzer on their way back from the NORML Conference in San Francisco all three men were charged with possession with intent to distribute and possession with intent to deliver 150 lbs. of marijuana.In 2010, the event began to be organized by a new group of activists poised to take on New York city. It was after this that the NYC Event was renamed to, NYC Cannabis Parade. The NYC Cannabis Parade, organized by a steering committee of activists, have turned the event into a celebration of cannabis culture in NYC with a nearly 20 block parade and 4 hour rally proceeding it, there has not been a recorded arrest for possession or use for over 4 years now. ""'We have zero arrests, and we don’t plan on having any,' one sergeant told a Post reporter. Advocates praised the cops’ mellow take on toking as the latest sign New York was inching toward decriminalization.""",257
Cannabis in the United Kingdom,Summary,"Cannabis in the United Kingdom is illegal for recreational use and is classified as a Class B drug. In 2004, the United Kingdom made cannabis a Class C drug with less severe penalties, but it was moved back to Class B in 2009. Medical use of cannabis, when prescribed by a registered specialist doctor, was legalised in November 2018.
Cannabis is widely used as an illegal drug in the UK, while other strains lower in THC have been used industrially for over a thousand years for fibre, oil and seeds. Cannabis has been restricted as a drug in the United Kingdom since 1928, though its usage as a recreational drug was limited until the 1960s, when increasing popularity led to stricter 1971 classification.
Despite the fact that cannabis is still illegal in the UK, with limited availability for medical use, the United Kingdom is the world's largest exporter of legal cannabis.",183
Cannabis in the United Kingdom,Industrial use,"The oldest evidence of cannabis in Britain was from some seeds found in a well in York; seeds found at Micklegate were associated with a 10th-century Viking settlement. Since it appears to have been mostly grown around the coastal areas it suggests the main reason for cultivating it was as a source of vegetable fibre which was stronger and more durable than stinging nettle or flax. This makes it ideal for making into cordage, ropes, fishing nets, and canvas.With hempen ropes being fundamental to the success of the English Navy, King Henry VIII in 1533 mandated that landowners grow allotments of hemp; Elizabeth I later increased those quotas, and the penalties for failing to meet them. As fibre became more available and the growing of hemp became more widespread, people began to find many other uses for the crop. It became a very important part of the British economy. Eventually, demand had expanded to the point that the demand for more fibre was part of the driving force to colonise new lands. Thanks to its hardiness and ease of cultivation, it became an ideal crop to grow in the new British colonies. Moreover, the naval ships built to protect the new colonies and those built to bring the hemp back, also increased demand, as every two years or so much of their two hundred tonnes of ropes and sail cloth had to be renewed.",273
Cannabis in the United Kingdom,Use as a drug,"Cannabis gained new attention in the Western medical world at the introduction of Irish physician William Brooke O'Shaughnessy, who had studied the drug while working as a medical officer in Bengal with the East India Company, and brought a quantity of cannabis with him on his return to Britain in 1842.Use of psychoactive cannabis was already prevalent in some of the new territories that Britain added to its empire, including South Asia and Southern Africa. Cannabis as a drug also spread slowly in other parts of the Empire; cannabis was introduced to Jamaica in the 1850s–1860s by indentured servants imported from India during British rule of both nations; many of the terms used in cannabis culture in Jamaica are based on Indian terms, including the term ganja.",159
Cannabis in the United Kingdom,Prohibition,"Cannabis prohibition began earlier in Britain's colonies than in Britain itself; attempts at criminalising cannabis in British India were made, and mooted, in 1838, 1871, and 1877. In 1894 the British Indian Hemp Drugs Commission judged that ""little injury"" was caused to society by the use of cannabis. Cannabis was banned in Mauritius in 1840, Singapore in 1870, Jamaica in 1913, East Africa Protectorate in 1914, and in Sierra Leone in 1920. In 1922, South Africa banned cannabis, and appealed to the League of Nations to include cannabis among prohibited drugs in its upcoming convention.In Britain itself, in 1928 in accordance with the 1925 International Opium Convention, the United Kingdom first prohibited cannabis as a drug, adding cannabis as an addendum to the Dangerous Drugs Act 1920.Cannabis remained a fringe issue in the British public consciousness through the Interwar years and beyond, associated with society's margins: ""coloured seamen of the East End and clubs frequented by Negro theatrical performers"". This perception was strained by a 1950 police raid on Club Eleven in Soho which recovered cannabis and cocaine, and led to the arrest of several young white British men. With the changing youth and drug cultures globally, cannabis arrests increased dramatically in the UK: ""from 235 in 1960 to 4,683 by the end of the decade, principally involving white middle class youths with no previous convictions"". By 1973, marijuana possession convictions in the UK had reached 11,111 annually.With the passage of the Misuse of Drugs Act 1971, cannabis was listed as a Class B drug. It remained Class B, except for the 2004–2009 period where it was classified as Class C, a lower punishment category, before being moved back to B.",355
Cannabis in the United Kingdom,Cultivation,"The UK produces cannabis for use as a drug in illegal facilities inside private houses or apartments. The production is so high that the UK is an exporter of cannabis. After cannabis as a drug was rescheduled as Class B in 2008 (see below), more people started reporting on their suspicions of illegal operations and in 2009-2010 almost 7000 illegal facilities were found by police in one year. It has been reported that sometimes Vietnamese teenagers are trafficked to the United Kingdom and forced to work in these facilities. When police raid them, trafficked victims are typically sent to prison. Sometimes they are sent home.",124
Cannabis in the United Kingdom,Recreational drug,"Cannabis is widely used throughout the United Kingdom, by people of all ages and from all socio-economic backgrounds. In 2017, 7.2% of 16 to 59-year-olds reported using cannabis in the last year, making it the most commonly used illegal drug in the United Kingdom. The European drug report 2017 found that 29.4% of those aged 15–64 had used cannabis at least once. This compares with France who has some of the strongest drug laws in Europe with 40.9% and Portugal which views drug taking as a medical issue and therefore has far more relaxed laws at 9.4%Cannabis is at times linked to young people beginning to smoke tobacco as cannabis is often smoked with tobacco in the United Kingdom, unlike in many other parts of the world. As well as the use of tobacco when smoking cannabis, as a spliff, many people in Britain use a ""roach card"" (card or similar material rolled into a cylinder to serve as a rudimentary filter / structural support). As the option of vaporisation becomes more readily available, and as the market for hashish is replaced by herbal cannabis grown in the UK which can be smoked pure in a joint, this association of mixing cannabis with tobacco is becoming weaker. The higher relative price of cannabis compared to the rest of the world remains the most likely explanation for the mixing of cannabis with tobacco (although many users do this purely to ensure the ""joint"" smokes correctly, and to prevent it from going out).",305
Cannabis in the United Kingdom,Mental health concerns,"In February 2015, a team of researchers at the Institute Of Psychiatry, King's College London, led by Dr. Marta Di Forti, found that use of high potency cannabis known as skunk increased the risk of psychosis by three times, compared to non-use. The study of 780 people also found the risk of psychosis was five times higher for those who used cannabis every day.",82
Cannabis in the United Kingdom,Industrial cannabis,"Since 1993, the Home Office has been granting licences for the purposes of cultivating and processing cannabis. The UK government now provides free business advice and support services for growers and processors of cannabis for fibre. They can also issue licences for importing fibre in the form of hemp from abroad. The Department for Environment, Food and Rural Affairs (DEFRA) provides help and advice with obtaining financial assistance via the Single Payment Scheme. In England further funding may be available from Rural Development Programme for England.",99
Cannabis in the United Kingdom,Animal feed,"Mice, rats and fowl are all known to like cannabis seed, and it is a favoured food amongst some British pigeon fanciers. The linnet's fondness of the cannabis seed has earned it the Latin species name of cannabina. Cannabis seed is too expensive to be used as general feed stock, but once the oil has been pressed out the remaining seed cake is still nutritious.The plant itself has not been used as fodder as too much makes animals sicken, and due to its unpleasant taste they will not eat it unless there is no other food available. Hemp hurd, also called shives, is the soft core of the cannabis plant which remains after the fibres are removed, and provides good animal bedding which can absorb more moisture than either straw or wood shavings.Boiled cannabis seed is frequently used by British sport fishermen.",176
